,,from,to,distance
65280502,65321732,65280502,65321732,74.04859
65280573,259407844,65280573,259407844,77.499274
65280573,356719485,65280573,356719485,36.574041
65280573,3117933962,65280573,3117933962,7.413527
65280576,65280573,65280576,65280573,80.723755
65280632,65280635,65280632,65280635,203.57912
65280632,65336179,65280632,65336179,67.901727
65280635,65335023,65280635,65335023,78.831561
65280635,1172746219,65280635,1172746219,20.707626
65280635,5020424947,65280635,5020424947,9.675848
65280672,830572057,65280672,830572057,27.983473
65280672,8436907252,65280672,8436907252,212.189778
65280694,4152343445,65280694,4152343445,99.340375
65280738,65306102,65280738,65306102,60.604669
65280738,5634834332,65280738,5634834332,82.64657
65280743,5634834337,65280743,5634834337,54.421781
65280743,6503654829,65280743,6503654829,9.370459
65280748,7024980240,65280748,7024980240,144.442242
65280748,7546742876,65280748,7546742876,106.279198
65280764,344386151,65280764,344386151,49.677594
65280764,344386167,65280764,344386167,11.821915
65280776,65280780,65280776,65280780,58.222517
65280776,65367101,65280776,65367101,307.376541
65280780,297858267,65280780,297858267,16.403594
65280798,65280835,65280798,65280835,334.557273
65280798,65309981,65280798,65309981,310.534852
65280835,3786551038,65280835,3786551038,195.620676
65280848,3158821075,65280848,3158821075,9.294521
65280848,3158821077,65280848,3158821077,8.670909
65280850,65352367,65280850,65352367,85.063763
65280850,2318058022,65280850,2318058022,99.036538
65280896,6355595232,65280896,6355595232,58.327777
65280896,6355595391,65280896,6355595391,8.645224
65280915,65280917,65280915,65280917,135.718021
65280915,65345521,65280915,65345521,51.350092
65280917,65290098,65280917,65290098,47.273021
65280920,65297818,65280920,65297818,27.830902
65280938,65280945,65280938,65280945,136.248461
65280938,65358309,65280938,65358309,47.973609
65280945,65290095,65280945,65290095,47.519833
65280945,6373614687,65280945,6373614687,31.280193
65280947,65317212,65280947,65317212,46.909188
65280956,65280999,65280956,65280999,134.840952
65280956,2304346674,65280956,2304346674,27.378431
65280960,65284960,65280960,65284960,30.282235
65280999,65282049,65280999,65282049,19.336595
65280999,5442137967,65280999,5442137967,35.474882
65281001,65354498,65281001,65354498,16.829465
65281097,6639406924,65281097,6639406924,42.087479
65281097,7150680143,65281097,7150680143,53.154828
65281164,6840949233,65281164,6840949233,10.688104
65281164,6840949306,65281164,6840949306,8.01341
65281218,267455477,65281218,267455477,15.061112
65281218,6338751428,65281218,6338751428,7.508178
65281253,65337860,65281253,65337860,28.634449
65281338,65309424,65281338,65309424,226.474402
65281338,1469069087,65281338,1469069087,8.677605
65281338,1469069099,65281338,1469069099,32.80691
65281357,265666749,65281357,265666749,9.530355
65281359,3999586585,65281359,3999586585,49.32287
65281374,65281379,65281374,65281379,43.004999
65281374,4766860580,65281374,4766860580,27.456861
65281379,65288985,65281379,65288985,39.813101
65281401,258757617,65281401,258757617,152.322944
65281401,1202382590,65281401,1202382590,5.421235
65281429,268012546,65281429,268012546,45.166768
65281511,1378125483,65281511,1378125483,63.707005
65281514,65311878,65281514,65311878,77.587551
65281514,5854734902,65281514,5854734902,17.000765
65281514,5854734905,65281514,5854734905,18.583688
65281523,4272361610,65281523,4272361610,26.221654
65281526,351089134,65281526,351089134,148.176296
65281526,4272361616,65281526,4272361616,59.42166
65281547,65282353,65281547,65282353,119.495156
65281547,318256758,65281547,318256758,15.797418
65281555,65317161,65281555,65317161,13.107135
65281555,7965180401,65281555,7965180401,9.12524
65281560,65281563,65281560,65281563,85.925083
65281560,3989396065,65281560,3989396065,24.976557
65281563,3989396050,65281563,3989396050,42.492361
65281576,265666678,65281576,265666678,78.693653
65281580,258886237,65281580,258886237,23.31137
65281582,5443322493,65281582,5443322493,32.180961
65281582,5443322496,65281582,5443322496,18.870476
65281688,65281691,65281688,65281691,131.77881
65281691,65281694,65281691,65281694,36.46164
65281694,1012942050,65281694,1012942050,115.371744
65281694,1012942054,65281694,1012942054,55.976899
65281808,7531241809,65281808,7531241809,67.450533
65281816,65319956,65281816,65319956,33.525294
65281816,5006376195,65281816,5006376195,31.702988
65281824,65314166,65281824,65314166,69.352296
65281835,65303554,65281835,65303554,50.489176
65281856,65328360,65281856,65328360,67.873988
65281916,65317717,65281916,65317717,66.745451
65281916,65325052,65281916,65325052,66.994097
65281950,65352454,65281950,65352454,111.185583
65282049,65282051,65282049,65282051,18.693464
65282051,65282049,65282051,65282049,18.693464
65282051,2304390672,65282051,2304390672,17.83709
65282058,2304346679,65282058,2304346679,30.006025
65282058,2304390672,65282058,2304390672,14.350829
65282059,8075984902,65282059,8075984902,5.191529
65282059,8075984905,65282059,8075984905,5.972907
65282059,8075984908,65282059,8075984908,10.130275
65282071,5287406033,65282071,5287406033,39.42628
65282071,5429032431,65282071,5429032431,13.501809
65282074,316918064,65282074,316918064,32.803803
65282081,2253307467,65282081,2253307467,12.046554
65282081,5287405683,65282081,5287405683,19.953225
65282083,65282081,65282083,65282081,24.115881
65282083,65282130,65282083,65282130,40.494877
65282101,5287405707,65282101,5287405707,22.025205
65282101,5287405715,65282101,5287405715,36.850738
65282120,258922199,65282120,258922199,60.618374
65282120,1809560863,65282120,1809560863,6.828403
65282123,65342101,65282123,65342101,210.269119
65282123,258922135,65282123,258922135,20.226647
65282130,65282133,65282130,65282133,13.37059
65282130,65282140,65282130,65282140,68.41841
65282133,65285504,65282133,65285504,68.907445
65282133,5287385331,65282133,5287385331,21.870067
65282135,65282136,65282135,65282136,19.672241
65282140,65282144,65282140,65282144,30.317332
65282144,65319021,65282144,65319021,36.008229
65282185,539993902,65282185,539993902,75.100205
65282185,6515873893,65282185,6515873893,81.007986
65282200,4941850437,65282200,4941850437,95.651136
65282263,65291481,65282263,65291481,156.166917
65282263,65291547,65282263,65291547,40.420297
65282272,65308042,65282272,65308042,75.494331
65282272,3722628525,65282272,3722628525,14.528272
65282319,332786709,65282319,332786709,27.157465
65282328,65282331,65282328,65282331,58.615852
65282328,65305897,65282328,65305897,58.195886
65282331,65282332,65282331,65282332,75.419276
65282332,65282339,65282332,65282339,58.164061
65282339,5427553436,65282339,5427553436,20.046232
65282347,302912544,65282347,302912544,100.722701
65282347,318256293,65282347,318256293,180.569329
65282353,3830586449,65282353,3830586449,15.495084
65282387,2961623562,65282387,2961623562,9.547114
65282415,295489509,65282415,295489509,6.199513
65282415,3741990649,65282415,3741990649,51.428928
65282707,65301086,65282707,65301086,128.904195
65282707,311781835,65282707,311781835,118.258855
65282779,7047725334,65282779,7047725334,16.910299
65282779,7047725347,65282779,7047725347,17.23981
65282840,1206794736,65282840,1206794736,73.202041
65282840,6332030058,65282840,6332030058,7.060492
65282848,65282840,65282848,65282840,152.352433
65282876,65315171,65282876,65315171,34.808563
65282876,2449296877,65282876,2449296877,67.968952
65282954,9090623527,65282954,9090623527,45.807741
65282960,65335102,65282960,65335102,159.655009
65282960,6348551898,65282960,6348551898,71.967145
65283026,65283028,65283026,65283028,10.583712
65283028,65283026,65283028,65283026,10.583712
65283028,65316379,65283028,65316379,82.679047
65283086,65304176,65283086,65304176,59.530812
65283094,65298314,65283094,65298314,58.569844
65283094,65304176,65283094,65304176,107.643117
65283101,65283107,65283101,65283107,33.811126
65283107,65297899,65283107,65297899,143.081174
65283112,65283101,65283112,65283101,34.619164
65283112,65304165,65283112,65304165,224.248902
65283117,65348404,65283117,65348404,58.270071
65283131,5020519321,65283131,5020519321,242.604462
65283145,65284868,65283145,65284868,99.726303
65283145,612726045,65283145,612726045,45.347311
65283152,733675363,65283152,733675363,69.467417
65283155,65283152,65283155,65283152,72.273998
65283155,733674981,65283155,733674981,12.093529
65283163,3454091850,65283163,3454091850,17.497641
65283163,3732472225,65283163,3732472225,44.607448
65283166,3454091851,65283166,3454091851,30.53115
65283166,5904506657,65283166,5904506657,24.576604
65283175,65283183,65283175,65283183,94.294258
65283175,258910953,65283175,258910953,61.298641
65283183,65283196,65283183,65283196,95.364525
65283183,258909678,65283183,258909678,60.883751
65283196,65329570,65283196,65329570,72.772891
65283203,65283205,65283203,65283205,47.33264
65283205,65283210,65283205,65283210,63.10211
65283210,65283203,65283210,65283203,103.173537
65283221,1196897039,65283221,1196897039,9.091742
65283366,65286610,65283366,65286610,75.03257
65283387,2613221287,65283387,2613221287,52.235972
65283387,3860557690,65283387,3860557690,7.406251
65283419,1940859975,65283419,1940859975,4.074642
65283419,2252777886,65283419,2252777886,9.670378
65283435,65315772,65283435,65315772,39.404596
65283435,4022986820,65283435,4022986820,8.049479
