,,from,to,distance
65306148,65313328,65306148,65313328,65.260325
65306150,65289154,65306150,65289154,93.708987
65306150,65337548,65306150,65337548,89.219733
65306153,65306155,65306153,65306155,91.979076
65306153,65318433,65306153,65318433,42.596755
65306155,65336401,65306155,65336401,26.153189
65306155,5443100450,65306155,5443100450,35.739889
65306163,65337471,65306163,65337471,134.757768
65306163,5443100451,65306163,5443100451,64.738519
65306165,65306173,65306165,65306173,91.175678
65306165,65337476,65306165,65337476,80.271313
65306173,65306174,65306173,65306174,91.617536
65306173,65337478,65306173,65337478,62.125452
65306174,65306177,65306174,65306177,59.926854
65306174,65337480,65306174,65337480,66.344147
65306177,65306178,65306177,65306178,31.166895
65306178,65306179,65306178,65306179,30.411962
65306178,65337484,65306178,65337484,72.138814
65306179,65306182,65306179,65306182,62.457142
65306182,65306185,65306182,65306185,63.240713
65306182,65334606,65306182,65334606,84.14096
65306185,65306187,65306185,65306187,28.396889
65306187,65305689,65306187,65305689,92.540171
65306187,65337486,65306187,65337486,95.726302
65306192,65306195,65306192,65306195,38.060526
65306195,65306198,65306195,65306198,91.094355
65306198,65306201,65306198,65306201,71.870553
65306198,65312338,65306198,65312338,131.901378
65306201,65306203,65306201,65306203,19.490221
65306203,65328633,65306203,65328633,136.97402
65306203,5443308088,65306203,5443308088,56.003694
65306205,4179110438,65306205,4179110438,58.498871
65306205,4809568845,65306205,4809568845,7.24695
65306213,65306216,65306213,65306216,39.943423
65306213,3999406089,65306213,3999406089,63.028395
65306216,65306218,65306216,65306218,89.459203
65306216,65344366,65306216,65344366,132.245581
65306218,65306220,65306218,65306220,73.20402
65306220,65306224,65306220,65306224,21.388533
65306220,65333441,65306220,65333441,226.850603
65306224,6916660275,65306224,6916660275,41.072768
65306226,65292495,65306226,65292495,230.65639
65306226,65303611,65306226,65303611,47.116688
65306228,65297760,65306228,65297760,67.206046
65306229,65305069,65306229,65305069,92.849672
65306229,65323658,65306229,65323658,99.906182
65306240,6997630240,65306240,6997630240,100.697954
65306240,8436755255,65306240,8436755255,109.39324
65306242,8436755253,65306242,8436755253,9.423452
65306242,8436755256,65306242,8436755256,6.307924
65306245,8436749101,65306245,8436749101,8.629625
65306245,8436749110,65306245,8436749110,6.210005
65306247,65317447,65306247,65317447,77.571795
65306267,1469069156,65306267,1469069156,5.672
65306267,3722628454,65306267,3722628454,93.137755
65306275,2365024802,65306275,2365024802,8.004564
65306275,2588681753,65306275,2588681753,14.844902
65306286,4177104995,65306286,4177104995,50.627016
65306288,65350740,65306288,65350740,53.085013
65306288,6515873907,65306288,6515873907,129.01898
65306289,4969806772,65306289,4969806772,45.09274
65306289,7150534599,65306289,7150534599,97.795108
65306336,6596776045,65306336,6596776045,43.440409
65306336,7533636818,65306336,7533636818,6.731683
65306375,65343295,65306375,65343295,88.157672
65306375,1712572412,65306375,1712572412,202.37665
65306379,6180237569,65306379,6180237569,113.651218
65306390,4290985377,65306390,4290985377,72.103021
65306402,65306421,65306402,65306421,199.268812
65306402,65332950,65306402,65332950,36.792261
65306421,388001815,65306421,388001815,39.029686
65306426,65306421,65306426,65306421,164.562978
65306426,65332979,65306426,65332979,43.014138
65306433,260494525,65306433,260494525,72.154622
65306457,65332673,65306457,65332673,36.635622
65306457,4608896850,65306457,4608896850,38.373522
65306464,65292623,65306464,65292623,97.489262
65306533,65293662,65306533,65293662,46.253397
65306533,65306534,65306533,65306534,79.52678
65306534,65293671,65306534,65293671,38.792132
65306543,4904270572,65306543,4904270572,32.328871
65306547,7260002696,65306547,7260002696,7.462604
65306562,65318505,65306562,65318505,94.515971
65306562,258910942,65306562,258910942,207.187132
65306564,65306568,65306564,65306568,207.933174
65306564,65308539,65306564,65308539,94.547846
65306568,65306571,65306568,65306571,207.978112
65306568,65318508,65306568,65318508,94.567139
65306571,65318511,65306571,65318511,94.579576
65306571,5334844152,65306571,5334844152,86.208081
65306580,65318518,65306580,65318518,94.284583
65306580,6352714181,65306580,6352714181,196.058699
65306583,6352714180,65306583,6352714180,11.495996
65306583,6352716287,65306583,6352716287,8.296994
65306585,65294014,65306585,65294014,207.688481
65306585,65318522,65306585,65318522,94.342003
65306587,65288298,65306587,65288298,207.877794
65306587,4634241757,65306587,4634241757,47.199396
65306589,65318529,65306589,65318529,94.456857
65306589,6153027487,65306589,6153027487,16.832121
65306591,65318532,65306591,65318532,94.485568
65306591,6153027281,65306591,6153027281,165.190334
65306594,65318538,65306594,65318538,94.505505
65306594,6397707430,65306594,6397707430,201.324424
65306600,6356891998,65306600,6356891998,9.874718
65306600,6356892003,65306600,6356892003,10.86104
65306602,65306604,65306602,65306604,207.28738
65306602,65318546,65306602,65318546,94.629789
65306604,65293141,65306604,65293141,94.258928
65306604,4006627919,65306604,4006627919,101.905871
65306617,65354844,65306617,65354844,111.132086
65306617,363035181,65306617,363035181,92.876873
65306623,65289379,65306623,65289379,73.817966
65306623,65318503,65306623,65318503,96.192603
65306635,65306641,65306635,65306641,260.367317
65306635,2093154431,65306635,2093154431,73.944436
65306651,65306655,65306651,65306655,28.299506
65306651,6922018770,65306651,6922018770,62.364517
65306655,6922018770,65306655,6922018770,50.77376
65306661,65290711,65306661,65290711,81.973471
65306667,65306668,65306667,65306668,114.221209
65306668,65297468,65306668,65297468,127.091562
65306680,6346560001,65306680,6346560001,8.487322
65306680,6346560005,65306680,6346560005,10.606576
65306682,65306684,65306682,65306684,195.557264
65306682,65312279,65306682,65312279,90.040885
65306684,65296374,65306684,65296374,195.840798
65306684,65333397,65306684,65333397,89.869483
65306688,65304103,65306688,65304103,85.55223
65306694,65341486,65306694,65341486,97.298991
65306702,6606534857,65306702,6606534857,57.98897
65306706,65306710,65306706,65306710,66.589772
65306706,6340230506,65306706,6340230506,106.718273
65306710,65306711,65306710,65306711,40.398004
65306711,65306712,65306711,65306712,55.803014
65306712,6368038638,65306712,6368038638,16.822709
65306714,65302855,65306714,65302855,86.649283
65306741,65302248,65306741,65302248,100.599255
65306764,65306741,65306764,65306741,70.761475
65306764,65306766,65306764,65306766,38.391996
65306766,65306774,65306766,65306774,122.84894
65306774,65326282,65306774,65326282,107.888854
65306785,6270792540,65306785,6270792540,9.719108
65306785,6270792541,65306785,6270792541,10.917601
65306787,5000827721,65306787,5000827721,10.872997
65306787,5000827723,65306787,5000827723,11.951648
65306789,5000826410,65306789,5000826410,11.254475
65306789,5000826415,65306789,5000826415,11.476969
65306789,5950549673,65306789,5950549673,12.662679
65306793,7209254426,65306793,7209254426,13.339875
65306793,7209254429,65306793,7209254429,13.090034
65306795,5826707768,65306795,5826707768,12.688382
65306795,5826707769,65306795,5826707769,10.239476
65306797,6925251694,65306797,6925251694,13.930298
65306797,6925251715,65306797,6925251715,10.88092
65306800,7209255216,65306800,7209255216,42.565326
65306802,7209255214,65306802,7209255214,8.165411
65306802,7209255215,65306802,7209255215,8.248977
65306804,6373679010,65306804,6373679010,8.790201
65306804,7209002732,65306804,7209002732,11.856185
65306810,65306812,65306810,65306812,97.136306
65306810,65325037,65306810,65325037,66.152834
65306812,65325183,65306812,65325183,67.985122
65306812,5437074282,65306812,5437074282,90.292313
65306815,65306817,65306815,65306817,70.575052
65306815,5837961124,65306815,5837961124,133.337554
65306817,65293433,65306817,65293433,69.868616
65306817,5437074285,65306817,5437074285,143.704599
65306819,65306822,65306819,65306822,72.498641
65306819,5434000418,65306819,5434000418,101.552318
65306822,65306825,65306822,65306825,63.196264
65306825,65359198,65306825,65359198,125.905792
65306825,6925470667,65306825,6925470667,63.143424
65306827,6925470668,65306827,6925470668,11.285623
65306827,6925558127,65306827,6925558127,9.55947
65306829,65297956,65306829,65297956,54.412459
65306829,65325192,65306829,65325192,69.509738
65306832,65306835,65306832,65306835,22.950759
65306832,6925181338,65306832,6925181338,178.903981
65306835,65306838,65306835,65306838,51.487833
65306835,6639198517,65306835,6639198517,82.045831
65306838,65306840,65306838,65306840,149.626105
65306838,5434001054,65306838,5434001054,42.29486
65306840,65312159,65306840,65312159,72.96463
65306840,65325013,65306840,65325013,68.347106
65306840,4177086687,65306840,4177086687,20.592785
65306842,5437876948,65306842,5437876948,33.657111
65306847,65312164,65306847,65312164,75.557012
65306847,4177086678,65306847,4177086678,27.294049
65306853,2086914128,65306853,2086914128,15.910971
65306869,65306872,65306869,65306872,81.938998
65306869,360423918,65306869,360423918,99.410575
65306872,65291311,65306872,65291311,142.29537
65306872,65296164,65306872,65296164,69.943331
65306875,65309997,65306875,65309997,102.941268
65306880,65310028,65306880,65310028,10.684021
65306887,65312552,65306887,65312552,40.571087
65306887,65346667,65306887,65346667,61.275161
65306887,1721494319,65306887,1721494319,13.333672
65306890,5427552901,65306890,5427552901,29.496118
65306901,364484183,65306901,364484183,50.994115
65306918,8992831063,65306918,8992831063,13.464527
65306920,65325032,65306920,65325032,67.176875
65306931,65321839,65306931,65321839,66.227915
65306940,65351748,65306940,65351748,65.79117
65306948,65306920,65306948,65306920,20.488093
65306948,65306951,65306948,65306951,85.504935
65306951,65306931,65306951,65306931,21.80286
65306956,1616398897,65306956,1616398897,52.052725
65306958,65306940,65306958,65306940,9.955823
65306958,4485990007,65306958,4485990007,104.588764
65306969,65304017,65306969,65304017,28.798103
65306975,1613924578,65306975,1613924578,51.596621
65306975,7209511010,65306975,7209511010,59.813579
65306982,65318320,65306982,65318320,59.94569
65306991,65317028,65306991,65317028,60.177262
65306993,65329978,65306993,65329978,28.392756
65306993,7228380521,65306993,7228380521,8.407741
65306993,7228380530,65306993,7228380530,9.345796
65306996,65342804,65306996,65342804,4.509219
65306996,7846291401,65306996,7846291401,33.534605
65307002,7234287194,65307002,7234287194,8.334382
65307002,7234287212,65307002,7234287212,44.139522
65307007,7231084688,65307007,7231084688,43.043271
65307007,7233994915,65307007,7233994915,9.758171
65307012,7233962581,65307012,7233962581,44.776337
65307014,4019009276,65307014,4019009276,50.616936
65307014,7233994903,65307014,7233994903,63.733941
65307023,7415271076,65307023,7415271076,7.979939
65307035,65301220,65307035,65301220,159.95518
65307040,65324871,65307040,65324871,57.827322
65307050,65293880,65307050,65293880,147.412575
65307050,65333327,65307050,65333327,98.771397
65307056,65307059,65307056,65307059,25.263675
65307056,1555230342,65307056,1555230342,41.758537
65307059,65302517,65307059,65302517,54.384024
65307059,311781212,65307059,311781212,43.85994
65307062,65328021,65307062,65328021,68.266458
65307062,6681985734,65307062,6681985734,132.929146
65307069,65312050,65307069,65312050,63.797104
65307075,65302396,65307075,65302396,54.761328
65307075,65307069,65307075,65307069,159.741952
65307077,65307075,65307077,65307075,138.678614
65307077,65343558,65307077,65343558,54.76561
65307082,65301000,65307082,65301000,128.022922
65307082,5443305757,65307082,5443305757,50.687832
65307093,7025569294,65307093,7025569294,101.952171
65307093,7561173739,65307093,7561173739,45.129951
65307098,65318844,65307098,65318844,57.969351
65307109,65307128,65307109,65307128,126.336066
65307109,2609017309,65307109,2609017309,13.997151
65307128,322068524,65307128,322068524,2.859075
65307143,6348551918,65307143,6348551918,34.961132
65307150,65307158,65307150,65307158,148.543573
65307150,4023031505,65307150,4023031505,52.055232
65307158,65295499,65307158,65295499,196.531904
65307164,5431097685,65307164,5431097685,46.278588
65307165,258910948,65307165,258910948,207.117995
65307165,5431097677,65307165,5431097677,17.584338
65307169,65308549,65307169,65308549,94.222718
65307169,5854481356,65307169,5854481356,156.438602
65307172,65307175,65307172,65307175,208.076045
65307172,65333137,65307172,65333137,94.18998
65307175,65333139,65307175,65333139,94.16538
65307175,4022941228,65307175,4022941228,207.976121
65307184,65333144,65307184,65333144,94.170072
65307184,6353342962,65307184,6353342962,196.938961
65307186,6353341902,65307186,6353341902,9.485341
65307186,6353343085,65307186,6353343085,10.950363
65307188,65294038,65307188,65294038,207.699101
65307188,65333147,65307188,65333147,94.201768
65307191,65288308,65307191,65288308,207.877796
65307191,65324764,65307191,65324764,94.222823
65307195,65307198,65307195,65307198,207.342813
65307195,65321233,65307195,65321233,94.236342
65307198,65307200,65307198,65307200,207.788999
65307198,65326344,65307198,65326344,94.248105
65307200,65307202,65307200,65307202,207.899585
65307200,65333148,65307200,65333148,94.268036
65307202,65295158,65307202,65295158,207.844559
65307202,65310657,65307202,65310657,94.271026
65307205,6356891381,65307205,6356891381,8.888085
65307205,6356891383,65307205,6356891383,10.873128
65307208,65333155,65307208,65333155,94.312638
65307208,4034231279,65307208,4034231279,207.387332
65307248,65307251,65307248,65307251,146.614962
65307248,7231694038,65307248,7231694038,43.392333
65307251,65299389,65307251,65299389,53.857591
65307263,65303987,65307263,65303987,92.219146
65307263,65307266,65307263,65307266,79.236242
65307266,65307268,65307266,65307268,27.572634
65307268,65290112,65307268,65290112,49.921194
65307287,2317999413,65307287,2317999413,81.440882
65307294,65315848,65307294,65315848,39.054208
65307304,8358989343,65307304,8358989343,110.10907
65307304,8395261042,65307304,8395261042,8.247898
65307307,65307311,65307307,65307311,93.2795
65307307,8424139261,65307307,8424139261,110.431806
65307311,65306240,65307311,65306240,76.304516
65307311,9372684655,65307311,9372684655,109.503495
65307313,6997600921,65307313,6997600921,7.709522
65307313,6997701122,65307313,6997701122,7.992439
65307315,65346053,65307315,65346053,117.314252
65307322,8238779788,65307322,8238779788,8.319682
65307322,8238779806,65307322,8238779806,7.956802
65307324,3837625152,65307324,3837625152,8.955077
65307324,3837625153,65307324,3837625153,8.123504
65307334,9595943153,65307334,9595943153,10.266793
65307334,9595943156,65307334,9595943156,7.730632
65307337,65287612,65307337,65287612,94.559543
65307337,6350551822,65307337,6350551822,93.95695
65307339,4189231211,65307339,4189231211,74.670383
65307349,297842894,65307349,297842894,8.383391
65307349,317122247,65307349,317122247,9.504497
65307349,3645272853,65307349,3645272853,7.508152
65307352,7234287214,65307352,7234287214,10.539377
65307352,7234287215,65307352,7234287215,7.300241
65307354,7234287210,65307354,7234287210,9.29702
65307354,7234287211,65307354,7234287211,9.603512
65307356,7233962582,65307356,7233962582,6.262038
65307356,7233994912,65307356,7233994912,9.853569
65307359,7233962580,65307359,7233962580,7.370337
65307359,7233994907,65307359,7233994907,9.836231
65307363,65307366,65307363,65307366,135.820445
65307363,65356185,65307363,65356185,49.645886
65307366,65307368,65307366,65307368,46.4711
65307366,65328707,65307366,65328707,49.711796
65307368,65294773,65307368,65294773,55.62161
65307374,7233764932,65307374,7233764932,23.598517
65307376,7233764931,65307376,7233764931,9.171371
65307376,7233764933,65307376,7233764933,6.790741
65307378,7233764898,65307378,7233764898,3.53344
65307380,7233649810,65307380,7233649810,23.157501
65307380,7233764907,65307380,7233764907,6.484515
65307381,6319217950,65307381,6319217950,6.369575
65307381,6319217962,65307381,6319217962,8.19174
65307381,7233649811,65307381,7233649811,6.494306
65307381,7233649812,65307381,7233649812,10.706925
65307389,65306087,65307389,65306087,80.556077
65307389,65326730,65307389,65326730,45.88728
65307397,65307399,65307397,65307399,146.246045
65307397,65343969,65307397,65343969,49.612951
65307399,65298869,65307399,65298869,73.248197
65307399,7231525054,65307399,7231525054,91.228082
65307402,65307404,65307402,65307404,38.173874
65307404,65307406,65307404,65307406,31.612181
65307404,65336987,65307404,65336987,99.239659
65307406,7231544089,65307406,7231544089,106.437004
65307408,7231544086,65307408,7231544086,6.488644
65307408,7231544088,65307408,7231544088,9.09505
65307412,65307414,65307412,65307414,146.391803
65307412,65336999,65307412,65336999,99.080363
65307414,65327171,65307414,65327171,99.021396
65307414,3978847385,65307414,3978847385,65.06719
65307417,4759501865,65307417,4759501865,7.209606
65307417,4759501868,65307417,4759501868,10.878413
65307438,65295355,65307438,65295355,104.612677
65307438,301658243,65307438,301658243,106.575838
65307440,6747266572,65307440,6747266572,34.618682
65307440,6747292320,65307440,6747292320,31.532694
65307443,65307448,65307443,65307448,146.185654
65307443,65348283,65307443,65348283,50.736408
65307448,65307453,65307448,65307453,146.623656
65307448,5283668865,65307448,5283668865,99.367414
65307453,173175742,65307453,173175742,99.311199
65307453,4019294261,65307453,4019294261,148.777217
65307456,65336825,65307456,65336825,99.120343
65307456,4757430253,65307456,4757430253,73.463657
65307461,65307463,65307461,65307463,123.98584
65307461,65336672,65307461,65336672,99.043467
65307463,65297381,65307463,65297381,149.738376
65307463,65336924,65307463,65336924,99.003592
65307468,65295388,65307468,65295388,104.473291
65307468,65295740,65307468,65295740,146.290326
65307471,65307474,65307471,65307474,146.397042
65307471,5433307472,65307471,5433307472,57.827907
65307474,5432252631,65307474,5432252631,70.554221
65307474,6370811849,65307474,6370811849,113.638116
65307477,65307479,65307477,65307479,211.659531
65307477,5432252656,65307477,5432252656,40.08523
65307479,3997974004,65307479,3997974004,63.466783
65307505,767842123,65307505,767842123,8.445812
65307505,767848891,65307505,767848891,11.309856
65307505,1037911944,65307505,1037911944,4.691003
65307513,767834633,65307513,767834633,201.686447
65307534,65320727,65307534,65320727,34.030985
65307543,5994182975,65307543,5994182975,12.155148
65307545,1196882923,65307545,1196882923,8.284005
65307545,8076008574,65307545,8076008574,8.498583
65307547,8076008522,65307547,8076008522,8.558528
65307547,8076008535,65307547,8076008535,82.846514
65307550,8073239877,65307550,8073239877,66.276292
65307563,1201412846,65307563,1201412846,29.972337
65307567,7732618878,65307567,7732618878,8.570277
65307580,65307582,65307580,65307582,200.493745
65307580,65343521,65307580,65343521,85.098493
65307582,65307584,65307582,65307584,203.276777
65307582,65343523,65307582,65343523,85.87079
65307584,1241673291,65307584,1241673291,75.521688
65307584,1241673403,65307584,1241673403,40.032545
65307609,4008988322,65307609,4008988322,8.059082
65307609,4351880438,65307609,4351880438,10.332061
65307609,4351880439,65307609,4351880439,10.885902
65307619,4008988309,65307619,4008988309,13.733216
65307639,258766010,65307639,258766010,64.976163
65307639,3983269084,65307639,3983269084,16.665202
65307645,3999081408,65307645,3999081408,28.070719
65307645,8905549622,65307645,8905549622,12.960052
65307650,65292030,65307650,65292030,59.124109
65307654,65307668,65307654,65307668,172.57794
65307654,65315957,65307654,65315957,77.0361
65307668,65322747,65307668,65322747,94.945747
65307668,3963241289,65307668,3963241289,170.996339
65307671,65353974,65307671,65353974,94.179299
65307677,65307692,65307677,65307692,130.570322
65307677,65321052,65307677,65321052,20.336142
65307677,3999406085,65307677,3999406085,31.946213
65307692,65307698,65307692,65307698,91.859876
65307692,65310251,65307692,65310251,140.259456
65307698,65307699,65307698,65307699,91.34984
65307698,65328637,65307698,65328637,140.276185
65307699,65307700,65307699,65307700,91.466894
65307699,65312348,65307699,65312348,140.829359
65307700,65291378,65307700,65291378,91.307972
65307700,65302013,65307700,65302013,140.624098
65307702,65360594,65307702,65360594,140.249142
65307702,7432775597,65307702,7432775597,53.51969
65307709,65307711,65307709,65307711,91.8691
65307709,65360797,65307709,65360797,145.470327
65307711,65307712,65307711,65307712,30.156564
65307711,65337555,65307711,65337555,139.877887
65307712,65307714,65307712,65307714,60.821786
65307714,65360799,65307714,65360799,139.797609
65307714,7150696438,65307714,7150696438,23.32022
65307716,65307717,65307716,65307717,91.180005
65307716,65336409,65307716,65336409,139.888159
65307717,65318443,65307717,65318443,135.167145
65307717,4272356458,65307717,4272356458,83.415948
65307721,65316422,65307721,65316422,229.471153
65307726,65307727,65307726,65307727,62.16471
65307726,65363070,65307726,65363070,48.99008
65307727,65307729,65307727,65307729,150.639718
65307729,65280915,65307729,65280915,40.906878
65307745,65301629,65307745,65301629,99.999663
65307757,5439722145,65307757,5439722145,25.860641
65307757,5440265283,65307757,5440265283,41.023868
65307762,65307765,65307762,65307765,79.397606
65307762,65339081,65307762,65339081,116.703714
65307765,65307767,65307765,65307767,81.808546
65307765,65357906,65307765,65357906,159.591245
65307767,65321760,65307767,65321760,155.018811
65307767,612729669,65307767,612729669,6.763197
65307768,65307770,65307768,65307770,38.226007
65307768,612730167,65307768,612730167,8.29359
65307770,297838795,65307770,297838795,69.188079
65307778,65322739,65307778,65322739,25.837554
65307778,612730162,65307778,612730162,11.474363
65307796,65299552,65307796,65299552,79.328771
65307796,65299561,65307796,65299561,116.254
65307796,1172747892,65307796,1172747892,37.527842
65307803,65323711,65307803,65323711,147.770566
65307803,527872959,65307803,527872959,38.924472
65307806,65298188,65307806,65298188,132.861345
65307806,65307808,65307806,65307808,44.546563
65307808,8762751122,65307808,8762751122,55.014213
65307810,8762751117,65307810,8762751117,12.309301
65307810,8762751120,65307810,8762751120,10.68244
65307811,8762740710,65307811,8762740710,8.975125
65307812,8762740698,65307812,8762740698,6.398709
65307812,8762740700,65307812,8762740700,11.354863
65307825,7513678587,65307825,7513678587,31.400063
65307825,7513678592,65307825,7513678592,71.81199
65307828,65307830,65307828,65307830,130.308845
65307828,7513650483,65307828,7513650483,120.531854
65307830,65307835,65307830,65307835,112.250182
65307835,65307836,65307835,65307836,203.687722
65307836,65322923,65307836,65322923,258.813451
65307839,6346197697,65307839,6346197697,6.503836
65307844,65307847,65307844,65307847,177.283216
65307847,65307849,65307847,65307849,90.184562
65307847,5352317637,65307847,5352317637,88.498585
65307849,6346554644,65307849,6346554644,88.132104
65307859,65317557,65307859,65317557,56.61498
65307861,6925181327,65307861,6925181327,58.157997
65307880,1563088440,65307880,1563088440,11.118421
65307880,1563088443,65307880,1563088443,10.953543
65307880,2265957510,65307880,2265957510,1.171181
65307883,6355595333,65307883,6355595333,68.135448
65307893,65306901,65307893,65306901,81.330828
65307893,65307897,65307893,65307897,17.171379
65307897,506107940,65307897,506107940,103.467021
65307897,6503654786,65307897,6503654786,97.463344
65307900,6503654583,65307900,6503654583,5.118409
65307906,5442278404,65307906,5442278404,106.350976
65307906,6503654572,65307906,6503654572,12.690175
65307916,65352293,65307916,65352293,70.129744
65307916,7148018437,65307916,7148018437,31.743731
65307926,65307928,65307926,65307928,6.412812
65307928,65307930,65307928,65307930,133.135436
65307928,65355040,65307928,65355040,54.094337
65307930,65307932,65307930,65307932,154.04159
65307930,65341407,65307930,65341407,54.486652
65307932,65307939,65307932,65307939,84.532401
65307932,65312030,65307932,65312030,53.277383
65307939,65287947,65307939,65287947,69.556944
65307941,65288607,65307941,65288607,23.539266
65307941,65343549,65307941,65343549,57.111105
65307943,65300983,65307943,65300983,27.998949
65307946,65307950,65307946,65307950,78.667423
65307950,65307952,65307950,65307952,108.338684
65307950,65351091,65307950,65351091,57.024663
65307974,65312142,65307974,65312142,79.345863
65307974,6357449201,65307974,6357449201,11.743563
65307977,65307988,65307977,65307988,111.656242
65307977,65312148,65307977,65312148,60.519688
65307988,65307993,65307988,65307993,82.339796
65307988,65312154,65307988,65312154,58.789437
65307993,65345573,65307993,65345573,176.966385
65308026,65308042,65308026,65308042,27.887158
65308042,3711403262,65308042,3711403262,25.902286
65308063,65308081,65308063,65308081,225.230375
65308063,65310307,65308063,65310307,33.369065
65308081,65324094,65308081,65324094,77.221614
65308081,4087523263,65308081,4087523263,102.88334
65308085,65308089,65308085,65308089,196.722525
65308085,65313616,65308085,65313616,79.829018
65308089,65308092,65308089,65308092,197.166048
65308089,65324098,65308089,65324098,79.65111
65308092,65324101,65308092,65324101,79.949044
65308148,65308158,65308148,65308158,82.054826
65308158,5634222094,65308158,5634222094,30.579563
65308159,65308158,65308159,65308158,25.060961
65308159,3520934874,65308159,3520934874,9.626501
65308170,65282272,65308170,65282272,49.231249
65308170,5634222094,65308170,5634222094,80.659244
65308170,8491743914,65308170,8491743914,6.782046
65308172,65282272,65308172,65282272,26.482798
65308172,3722628545,65308172,3722628545,8.294824
65308178,8491743896,65308178,8491743896,7.238711
65308178,8491743899,65308178,8491743899,8.498394
65308182,65308188,65308182,65308188,33.087778
65308188,3722628374,65308188,3722628374,6.661587
65308190,65343283,65308190,65343283,37.707977
65308198,6485133117,65308198,6485133117,6.129198
65308198,6485133119,65308198,6485133119,5.619841
65308198,6485133120,65308198,6485133120,6.449422
65308201,262083982,65308201,262083982,83.053353
65308233,6933210590,65308233,6933210590,68.833246
65308252,65320592,65308252,65320592,38.182774
65308264,763026749,65308264,763026749,100.970742
65308264,4597232311,65308264,4597232311,96.438592
65308268,4674581816,65308268,4674581816,94.035073
65308268,5429620634,65308268,5429620634,60.313572
65308270,65308268,65308270,65308268,72.975463
65308272,65308270,65308272,65308270,73.527807
65308272,3931486692,65308272,3931486692,89.123207
65308278,4674581815,65308278,4674581815,93.990252
65308278,8719605800,65308278,8719605800,10.074265
65308283,65308278,65308283,65308278,145.784812
65308283,8719605798,65308283,8719605798,11.790396
65308287,258758554,65308287,258758554,13.391034
65308287,1243846491,65308287,1243846491,8.593865
65308289,65285109,65308289,65285109,51.958697
65308289,1243846537,65308289,1243846537,128.858816
65308300,4181974626,65308300,4181974626,63.068439
65308300,7179651206,65308300,7179651206,5.7344
65308302,5433624613,65308302,5433624613,44.30826
65308302,5433624618,65308302,5433624618,42.320368
65308306,8202094965,65308306,8202094965,9.618319
65308306,8202120048,65308306,8202120048,7.175859
65308310,65336585,65308310,65336585,52.797857
65308310,8202110453,65308310,8202110453,137.541805
65308319,65308310,65308319,65308310,74.419521
65308319,65308612,65308319,65308612,104.984597
65308325,65308319,65308325,65308319,70.022406
65308325,65339305,65308325,65339305,104.961105
65308328,7181979261,65308328,7181979261,12.038651
65308328,7182033348,65308328,7182033348,10.071529
65308330,65336717,65308330,65336717,107.809055
65308330,7181986182,65308330,7181986182,132.994733
65308332,65308330,65308332,65308330,147.220333
65308332,65313367,65308332,65313367,107.646431
65308334,65352353,65308334,65352353,104.735304
65308334,6910272808,65308334,6910272808,7.505978
65308339,65308334,65308339,65308334,80.832662
65308341,5433622919,65308341,5433622919,23.408968
65308343,4783986931,65308343,4783986931,41.154608
65308345,9482759963,65308345,9482759963,70.362576
65308351,4416004206,65308351,4416004206,103.22539
65308351,6743297729,65308351,6743297729,61.965805
65308364,65315792,65308364,65315792,63.79057
65308372,65307916,65308372,65307916,80.310437
65308372,7148018438,65308372,7148018438,31.364219
65308380,65357274,65308380,65357274,40.628279
65308387,3711338177,65308387,3711338177,45.123639
65308402,5241901999,65308402,5241901999,5.256664
65308402,5241902008,65308402,5241902008,7.550849
65308413,6925202324,65308413,6925202324,10.338179
65308413,6925202325,65308413,6925202325,12.704212
65308413,7209254438,65308413,7209254438,11.69095
65308435,65342590,65308435,65342590,9.077843
65308448,65294721,65308448,65294721,266.734495
65308448,65294756,65308448,65294756,81.519927
65308456,65308461,65308456,65308461,106.891928
65308456,65376331,65308456,65376331,70.641125
65308461,65308463,65308461,65308463,44.625899
65308463,65286067,65308463,65286067,21.315268
65308463,65349142,65308463,65349142,51.31797
65308466,65308469,65308466,65308469,91.235176
65308469,65308471,65308469,65308471,91.308299
65308471,65308474,65308471,65308474,91.468218
65308471,5189205587,65308471,5189205587,102.925901
65308474,65308478,65308474,65308478,87.149358
65308478,65286030,65308478,65286030,78.266773
65308478,65297402,65308478,65297402,83.929698
65308481,65308483,65308481,65308483,33.774909
65308483,3998001353,65308483,3998001353,35.452974
65308483,4019282332,65308483,4019282332,32.223475
65308485,65304053,65308485,65304053,36.225424
65308485,65347014,65308485,65347014,110.415646
65308490,4177283404,65308490,4177283404,6.795553
65308495,65308498,65308495,65308498,98.560623
65308495,828507411,65308495,828507411,55.692
65308498,65287709,65308498,65287709,94.317394
65308498,65324623,65308498,65324623,208.352627
65308500,65287672,65308500,65287672,94.493689
65308500,5432252830,65308500,5432252830,151.902501
65308503,65308506,65308503,65308506,94.334618
65308503,65314570,65308503,65314570,208.374838
65308506,65297725,65308506,65297725,94.423725
65308506,65349662,65308506,65349662,208.363212
65308508,65308511,65308508,65308511,94.158633
65308508,65349666,65308508,65349666,208.314334
65308511,65280076,65308511,65280076,94.440824
65308511,65349668,65308511,65349668,208.297608
65308516,65340583,65308516,65340583,208.259805
65308516,775098103,65308516,775098103,20.945761
65308518,9373695676,65308518,9373695676,10.265135
65308518,9373695680,65308518,9373695680,8.348346
65308520,65308523,65308520,65308523,98.800133
